lat,lng,dir,city,D1,D2,M
42.300131,-71.1054207893,3,boston,#fcfffc,#cfd2d1,#cfd2d1
42.300131,-71.1074505086,0,boston,,,
42.300131,-71.1074505086,1,boston,#cecfce,#bcbcbb,#cecfce
42.300131,-71.1074505086,2,boston,#eeeae7,#925f6c,#403a28
42.300131,-71.1074505086,3,boston,,,
42.300131,-71.1094802279,0,boston,#829dc3,#3a4f7b,#f9f9f7
42.300131,-71.1094802279,1,boston,#f0d2be,#7d9bc3,#6b616a
42.300131,-71.1094802279,2,boston,,,
42.300131,-71.1094802279,3,boston,,,
42.301631,-71.0668561225,0,boston,#f0ede7,#dbd9cf,#757464
42.301631,-71.0668561225,1,boston,#cdc8bc,#27310e,#75766c
42.301631,-71.0668561225,2,boston,#ebe8dc,#a1b2c7,#7f827b
42.301631,-71.0668561225,3,boston,#c5af8e,#f1efe7,#cfccc3
42.301631,-71.0688858418,0,boston,#577392,#e5e5e2,#e5e5e2
42.301631,-71.0688858418,1,boston,#e2e0de,#b2a490,#e2e0de
42.301631,-71.0688858418,2,boston,#d5cdc3,#b5a898,#887b74
42.301631,-71.0688858418,3,boston,#ebebe9,#6d8491,#ebebe9
42.301631,-71.0709155611,0,boston,#ebecee,#d7dbde,#a2a6a3
42.301631,-71.0709155611,1,boston,#faf9f9,#9bb5c5,#868c8b
42.301631,-71.0709155611,2,boston,#92a367,#95695c,#575d57
42.301631,-71.0709155611,3,boston,#698bb2,#e2e6e8,#d5d8d9
42.301631,-71.0729452804,0,boston,#b28b71,#ebe9e6,#89837b
42.301631,-71.0729452804,1,boston,#f7eee9,#8696a8,#6b685f
42.301631,-71.0729452804,2,boston,#e3eef3,#cbcfcf,#cbcfcf
42.301631,-71.0729452804,3,boston,#ebf2ed,#deded5,#4b4f48
42.301631,-71.0749749997,0,boston,#1f3b05,#59792d,#dcdddb
42.301631,-71.0749749997,1,boston,#fdfcff,#f8f9f9,#bfbec5
42.301631,-71.0749749997,2,boston,#bccad5,#c6d5da,#9d9d94
42.301631,-71.0749749997,3,boston,#f9f8f8,#37531f,#d5d6d3
42.301631,-71.077004719,0,boston,#eabe9e,#c2b16b,#503932
42.301631,-71.077004719,1,boston,#8f7436,#74532a,#483029
42.301631,-71.077004719,2,boston,#9b6c48,#6c4b20,#534132
42.301631,-71.077004719,3,boston,#ae8d67,#c0a185,#efefed
42.301631,-71.0790344383,0,boston,#9eb4c3,#e5e3dd,#e5e3dd
42.301631,-71.0790344383,1,boston,#ebebeb,#d8d3cb,#553b34
42.301631,-71.0790344383,2,boston,#ac8e5d,#cda08c,#8e8278
42.301631,-71.0790344383,3,boston,#bb8972,#c69a87,#56443d
42.301631,-71.0810641576,0,boston,#946a47,#bc9078,#e3e0dd
42.301631,-71.0810641576,1,boston,#315679,#dce4ed,#797e7f
42.301631,-71.0810641576,2,boston,#809fb4,#405a7f,#61686b
42.301631,-71.0810641576,3,boston,#decbc2,#f2f0f3,#6f7982
42.301631,-71.0830938769,0,boston,#ecd6bc,#b9957f,#6d716a
42.301631,-71.0830938769,1,boston,#091e31,#adbbc2,#666863
42.301631,-71.0830938769,2,boston,#a3ccd5,#331d17,#626c70
42.301631,-71.0830938769,3,boston,#fffff7,#dfdedb,#dfdedb
42.301631,-71.0851235962,0,boston,#9a6c56,#7b99b4,#8a897e
42.301631,-71.0851235962,1,boston,#c1cde8,#c8ac8d,#7e7b6c
