,lat,lng,entropy_mean
154,41.831104,-87.684767529,6.50013283252
155,41.832604,-87.6062014168,5.25881764362
156,41.832604,-87.6102304482,5.25518856689
157,41.832604,-87.6142594796,5.31511134049
158,41.832604,-87.6162739953,4.9198463175
159,41.832604,-87.618288511,6.26650726602
160,41.832604,-87.6203030267,6.21182975687
161,41.832604,-87.6223175424,6.23727288337
162,41.832604,-87.6263465738,6.62071133408
163,41.832604,-87.6303756052,5.82600229139
164,41.832604,-87.6323901209,6.13962191048
165,41.832604,-87.6344046366,6.29952328385
166,41.832604,-87.638433668,6.04419081307
167,41.832604,-87.6404481837,5.91822707617
168,41.832604,-87.6424626994,5.9882225659
169,41.832604,-87.6444772151,5.77085949457
170,41.832604,-87.6464917308,5.47778858276
171,41.832604,-87.6485062465,5.81026399298
172,41.832604,-87.6505207622,5.93620422564
173,41.832604,-87.6525352779,5.87645658507
174,41.832604,-87.6545497935,5.897477002
175,41.832604,-87.6565643092,5.79220025916
176,41.832604,-87.6585788249,5.95012713245
177,41.832604,-87.6605933406,5.50012706498
178,41.832604,-87.6626078563,5.28067998372
179,41.832604,-87.664622372,6.2465850489
180,41.832604,-87.6666368877,5.91774488097
181,41.832604,-87.6686514034,5.73004520547
182,41.832604,-87.6706659191,5.57214560426
183,41.832604,-87.6726804348,5.37084748065
184,41.832604,-87.6746949505,5.24385482747
185,41.832604,-87.6767094662,6.28404221918
186,41.832604,-87.6787239819,6.37365907453
187,41.832604,-87.6807384976,5.80410802233
188,41.832604,-87.6827530133,6.09643896457
189,41.832604,-87.684767529,6.09653516092
190,41.832604,-87.6867820447,5.00261760332
191,41.834104,-87.6041869011,5.9878389791
192,41.834104,-87.6062014168,5.93089805447
193,41.834104,-87.6082159325,5.63181982347
194,41.834104,-87.6102304482,5.52413240524
195,41.834104,-87.6122449639,6.18380368306
196,41.834104,-87.6142594796,5.86104184006
197,41.834104,-87.6162739953,6.4862657927
198,41.834104,-87.618288511,6.06315026319
199,41.834104,-87.6203030267,5.59309862514
200,41.834104,-87.6223175424,5.67645503352
201,41.834104,-87.6263465738,6.27448669011
202,41.834104,-87.6303756052,6.24460471346
203,41.834104,-87.6323901209,5.54312906104
204,41.834104,-87.6364191523,4.88727910617
205,41.834104,-87.638433668,6.10418102645
206,41.834104,-87.6404481837,6.27748167901
207,41.834104,-87.6424626994,5.95092168178
208,41.834104,-87.6444772151,5.94118928507
209,41.834104,-87.6464917308,5.97613479112
210,41.834104,-87.6485062465,5.62993939763
211,41.834104,-87.6505207622,6.12254012195
212,41.834104,-87.6525352779,6.16714609079
213,41.834104,-87.6545497935,5.79353986287
214,41.834104,-87.6565643092,5.96490205026
215,41.834104,-87.6585788249,5.99177050698
216,41.834104,-87.6605933406,5.79511356593
217,41.834104,-87.664622372,5.75636532063
218,41.834104,-87.6666368877,5.92660485179
219,41.834104,-87.6686514034,5.75582851805
220,41.834104,-87.6706659191,5.57775960422
221,41.834104,-87.6726804348,5.60387929932
222,41.834104,-87.6746949505,6.01134737797
223,41.834104,-87.6767094662,5.66590962361
224,41.834104,-87.6787239819,5.38174289866
225,41.834104,-87.6807384976,5.20239717971
226,41.834104,-87.6827530133,6.09758702696
227,41.834104,-87.684767529,5.53832188754
228,41.834104,-87.6867820447,5.78941672476
229,41.834104,-87.6887965604,5.58351796433
230,41.834104,-87.6908110761,5.60876847231
231,41.835604,-87.6062014168,5.44403629051
232,41.835604,-87.6082159325,5.50136948022
233,41.835604,-87.6122449639,6.32234128668
234,41.835604,-87.618288511,5.79617751918
235,41.835604,-87.6203030267,5.66538762818
236,41.835604,-87.6223175424,5.36109329668
237,41.835604,-87.6263465738,6.43241106721
238,41.835604,-87.6283610895,6.0027750731
239,41.835604,-87.6303756052,5.62997219727
240,41.835604,-87.6323901209,6.11180843299
241,41.835604,-87.6344046366,6.18910590715
242,41.835604,-87.6364191523,5.54544902271
243,41.835604,-87.638433668,5.88157941524
244,41.835604,-87.6404481837,6.07863811706
245,41.835604,-87.6424626994,6.13648632365
246,41.835604,-87.6444772151,5.64696979944
247,41.835604,-87.6464917308,5.73281310568
248,41.835604,-87.6485062465,6.18527450034
249,41.835604,-87.6505207622,5.71700614182
250,41.835604,-87.6525352779,5.86515219855
251,41.835604,-87.6545497935,5.98186627931
252,41.835604,-87.6565643092,6.04114978818
253,41.835604,-87.6585788249,5.99479551009
254,41.835604,-87.6605933406,5.87095263732
255,41.835604,-87.6626078563,5.8770133733
256,41.835604,-87.664622372,5.63786684136
257,41.835604,-87.6666368877,5.94124396685
258,41.835604,-87.6686514034,5.91560691815
259,41.835604,-87.6706659191,5.41163927556
260,41.835604,-87.6726804348,5.72276857627
261,41.835604,-87.6746949505,5.13530535923
262,41.835604,-87.6767094662,5.77552464409
263,41.835604,-87.6787239819,5.54271769656
264,41.835604,-87.6807384976,5.85317765088
265,41.835604,-87.6827530133,4.77766459668
266,41.835604,-87.684767529,5.79190762568
267,41.837104,-87.6062014168,5.68400747587
268,41.837104,-87.6082159325,5.78110544598
269,41.837104,-87.6142594796,6.27121048874
270,41.837104,-87.6162739953,6.16242946245
271,41.837104,-87.618288511,6.67044625545
272,41.837104,-87.6203030267,5.97234334379
273,41.837104,-87.6223175424,5.75098932419
274,41.837104,-87.6263465738,6.40718218757
275,41.837104,-87.6283610895,5.95088828243
276,41.837104,-87.6303756052,5.59971478416
277,41.837104,-87.6323901209,6.03313378532
278,41.837104,-87.6344046366,6.18497736931
279,41.837104,-87.6364191523,5.30741692577
280,41.837104,-87.6404481837,5.7584897944
