source,target,value
Agassiz,Mission Hill,0.336065
Beacon Hill,The Port,0.3376135
Neighborhood Nine,WATERTOWN_02472,0.337735
East Boston,South End,0.33786
Agassiz,Beacon Hill,0.338055
Area 2/MIT,The Port,0.341785
Chinatown,Riverside,0.3432
BROOKLINE_02446,WATERTOWN_02472,0.343905
Downtown,Roxbury,0.3463
Brighton,Longwood Medical Area,0.34802
Longwood Medical Area,The Port,0.350125
East Boston,Fenway,0.351455
East Cambridge,Fenway,0.352395
Cambridgeport,The Port,0.352955
The Port,West Cambridge,0.353945
Charlestown,West Cambridge,0.35417
Charlestown,MEDFORD_02155,0.358025
North Cambridge,South Boston Waterfront,0.35871
South End,Wellington-Harrington,0.359855
Back Bay,EVERETT_02149,0.361365
Fenway,MEDFORD_02155,0.36216
Chinatown,West Cambridge,0.36223
South Boston Waterfront,WATERTOWN_02472,0.3627
Bay Village,SOMERVILLE_02144,0.36549
Jamaica Plain,Neighborhood Nine,0.3666
Mid-Cambridge,WATERTOWN_02472,0.369375
Fenway,North Cambridge,0.37383
Neighborhood Nine,West End,0.38247
Brighton,Riverside,0.383185
Charlestown,Riverside,0.383985
Agassiz,Dorchester,0.38827
Area 2/MIT,Mid-Cambridge,0.3959
South Boston,West End,0.398885
Allston,Longwood Medical Area,0.399065
Roxbury,SOMERVILLE_02145,0.40308
Bay Village,South Boston Waterfront,0.40562
Area 2/MIT,Fenway,0.4058
SOMERVILLE_02144,WATERTOWN_02472,0.40601
EVERETT_02149,North Cambridge,0.406445
BROOKLINE_02446,Brighton,0.4066045
Jamaica Plain,South Boston,0.406885
East Cambridge,North Cambridge,0.411445
Allston,Leather District,0.411655
Neighborhood Nine,Riverside,0.412595
Beacon Hill,Charlestown,0.41292
EVERETT_02149,North End,0.421505
Beacon Hill,South Boston,0.424795
Jamaica Plain,West End,0.429505
Fenway,West End,0.430122
Back Bay,Jamaica Plain,0.431095
North End,West Cambridge,0.43366
Mission Hill,WATERTOWN_02472,0.43479
BROOKLINE_02446,SOMERVILLE_02144,0.43586
Back Bay,Charlestown,0.437165
Mission Hill,SOMERVILLE_02144,0.43923
Bay Village,The Port,0.440628
Downtown,Mission Hill,0.441095
Dorchester,Neighborhood Nine,0.44113
Allston,Mid-Cambridge,0.441865
Area 2/MIT,North Cambridge,0.442455
Mid-Cambridge,West Cambridge,0.44397
BROOKLINE_02446,West End,0.443985
East Boston,West Cambridge,0.445505
Mid-Cambridge,Mission Hill,0.449745
North End,South Boston,0.450815
Area 2/MIT,East Cambridge,0.4546905
Brighton,East Cambridge,0.45488
South Boston,The Port,0.455595
SOMERVILLE_02144,West End,0.455895
EVERETT_02149,Wellington-Harrington,0.45882
