,fsz,lat,lng,rm,sz,url,use,val,yr,price
410,2016,42.34573,-71.071306,9,713,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=23+Gray+St&citystatezip=02116,SingleFamily,2452010,1865,"$2,495,000"
411,2400,42.359604,-71.063453,10,435,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=60+Temple+St&citystatezip=02114,Condominium,2187074,1899,"$2,050,000"
412,2317,42.298067,-71.082722,11,5227,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=47+Bicknell+St&citystatezip=02121,SingleFamily,403539,1920,"$575,000"
415,3177,42.312041,-71.09909,17,5227,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=45+Iffley+Rd&citystatezip=02130,MultiFamily2To4,713575,1905,"$1,159,000"
417,1250,42.321731,-71.122276,3,980100,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=241+Perkins+St&citystatezip=02130,Condominium,744982,1880,"$749,000"
419,910,42.374364,-71.062546,4,871,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=83+Warren+St&citystatezip=02129,Condominium,646042,1760,"$1,000,000"
423,800,42.36555,-71.05616,4,726,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=90+Prince+St&citystatezip=02113,MultiFamily5Plus,,1987,"$605,000"
424,4700,42.357053,-71.071348,7,1235,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=32+Lime+St&citystatezip=02108,SingleFamily,5347716,1912,"$6,700,000"
425,1854,42.260247,-71.12844,5,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=35+Hale+St&citystatezip=02136,SingleFamily,432274,1916,"$370,000"
426,1252,42.312206,-71.064249,,1252,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=103+Hancock+St&citystatezip=02125,Condominium,401934,,
427,737,42.283752,-71.056228,4,737,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=221+Minot+St&citystatezip=02124,Condominium,224766,1960,"$309,000"
428,568,42.337,-71.0504,3,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=290+E+St&citystatezip=02127,Apartment,,1920,"$449,900"
429,654,42.380184,-71.029482,3,2613,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=284+Princeton+St&citystatezip=02128,Condominium,368884,1900,"$475,000"
432,3700,42.314594,-71.087486,,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=43+Waumbeck+St&citystatezip=02121,MultiFamily2To4,381436,1900,"$689,000"
436,1317,42.36353,-71.066499,4,1317,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=2+Hawthorne+Pl&citystatezip=02114,Condominium,624318,1967,"$749,000"
437,2074,42.289173,-71.157878,9,13939,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=169+Corey+St&citystatezip=02132,SingleFamily,693014,1935,"$620,000"
438,1223,42.336696,-71.029499,10,1306,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=744+1+2&citystatezip=02127,Condominium,629868,1890,"$649,000"
439,2423,42.30972,-71.128007,6,9583,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=9+Woodland+Rd&citystatezip=02130,SingleFamily,1006588,1955,"$799,900"
440,1544,42.320624,-71.112944,7,2157,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=21+Halifax+St&citystatezip=02130,Condominium,618551,1925,"$699,000"
444,2214,42.28177,-71.149477,8,10720,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=254+Park+St&citystatezip=02132,SingleFamily,761875,1900,"$769,000"
445,1838,42.354625,-71.169145,6,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=16+Bellamy+St&citystatezip=02135,SingleFamily,613141,1950,"$649,900"
446,2293,42.294934,-71.161812,9,10454,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=7+Keane+Rd&citystatezip=02132,SingleFamily,778471,1955,"$789,900"
447,2300,42.313187,-71.110496,9,2957,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=94+Rockview+St&citystatezip=02130,SingleFamily,895052,1905,"$869,000"
448,5558,42.351731,-71.081953,11,2800,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=244+Marlborough+St&citystatezip=02116,SingleFamily,5037882,1890,"$5,950,000"
449,1268,42.354474,-71.165723,7,4791,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=33+Hardwick+St&citystatezip=02135,SingleFamily,631070,1940,"$679,000"
450,1655,42.293121,-71.077,6,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=97+Millet+St&citystatezip=02124,SingleFamily,359608,1883,"$415,000"
455,3261,42.385135,-71.002222,,2560,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1350+Saratoga+St&citystatezip=02128,MultiFamily2To4,595365,1910,"$799,900"
459,3702,42.312499,-71.062559,17,4791,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=72+Downer+Ave&citystatezip=02125,MultiFamily2To4,830111,1905,"$549,000"
460,2288,42.266415,-71.104121,10,4000,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=181+Ruskindale+Rd&citystatezip=02136,MultiFamily2To4,433555,1900,"$449,900"
463,2500,42.331645,-71.110061,18,2995,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Parker+Hill&citystatezip=02120,MultiFamily2To4,1404820,1905,"$4,300,000"
464,3915,42.286955,-71.121119,,6083,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=2+Brookdale+St&citystatezip=02131,MultiFamily2To4,766691,,"$1,399,900"
465,711,42.348849,-71.074449,3,95907,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=400+Stuart+St&citystatezip=02116,SingleFamily,2887325,1922,"$2,350,000"
467,1186,42.27786,-71.098505,6,3927,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=154+Almont+St&citystatezip=02126,SingleFamily,267498,1950,"$329,900"
468,1200,42.374494,-71.036516,7,2500,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=196+Havre+St&citystatezip=02128,MultiFamily2To4,,1890,"$545,000"
469,4062,42.307735,-71.077308,,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=148+Stanwood+St&citystatezip=02121,MultiFamily2To4,596320,1903,"$599,000"
471,1750,42.286435,-71.117549,,5000,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=34+Neponset+Ave&citystatezip=02131,Condominium,534785,2016,"$630,000"
