,lat,lng
112,1.316876,103.782060576
113,1.318376,103.782060576
114,1.319876,103.782060576
115,1.321376,103.782060576
116,1.322876,103.782060576
117,1.324376,103.782060576
118,1.325876,103.782060576
119,1.327376,103.782060576
120,1.274876,103.783560964
121,1.276376,103.783560964
122,1.277876,103.783560964
123,1.279376,103.783560964
124,1.280876,103.783560964
125,1.282376,103.783560964
126,1.283876,103.783560964
127,1.285376,103.783560964
128,1.286876,103.783560964
129,1.288376,103.783560964
130,1.289876,103.783560964
131,1.291376,103.783560964
132,1.292876,103.783560964
133,1.294376,103.783560964
134,1.295876,103.783560964
135,1.297376,103.783560964
136,1.298876,103.783560964
137,1.300376,103.783560964
138,1.301876,103.783560964
139,1.303376,103.783560964
140,1.304876,103.783560964
141,1.306376,103.783560964
142,1.307876,103.783560964
143,1.309376,103.783560964
144,1.310876,103.783560964
145,1.312376,103.783560964
146,1.313876,103.783560964
147,1.315376,103.783560964
148,1.316876,103.783560964
149,1.318376,103.783560964
150,1.319876,103.783560964
151,1.321376,103.783560964
152,1.322876,103.783560964
153,1.324376,103.783560964
154,1.325876,103.783560964
155,1.327376,103.783560964
156,1.328876,103.783560964
157,1.330376,103.783560964
158,1.273376,103.785061352
159,1.274876,103.785061352
160,1.276376,103.785061352
161,1.277876,103.785061352
162,1.279376,103.785061352
163,1.280876,103.785061352
164,1.282376,103.785061352
165,1.283876,103.785061352
166,1.285376,103.785061352
167,1.286876,103.785061352
168,1.288376,103.785061352
169,1.289876,103.785061352
170,1.291376,103.785061352
171,1.292876,103.785061352
172,1.294376,103.785061352
173,1.295876,103.785061352
174,1.297376,103.785061352
175,1.298876,103.785061352
176,1.300376,103.785061352
177,1.301876,103.785061352
178,1.303376,103.785061352
179,1.304876,103.785061352
180,1.306376,103.785061352
181,1.307876,103.785061352
182,1.309376,103.785061352
183,1.310876,103.785061352
184,1.312376,103.785061352
185,1.313876,103.785061352
186,1.315376,103.785061352
187,1.316876,103.785061352
188,1.318376,103.785061352
189,1.319876,103.785061352
190,1.321376,103.785061352
191,1.322876,103.785061352
192,1.324376,103.785061352
193,1.325876,103.785061352
194,1.327376,103.785061352
195,1.328876,103.785061352
196,1.330376,103.785061352
197,1.331876,103.785061352
198,1.333376,103.785061352
199,1.270376,103.78656174
200,1.271876,103.78656174
201,1.273376,103.78656174
202,1.274876,103.78656174
203,1.276376,103.78656174
204,1.277876,103.78656174
205,1.279376,103.78656174
206,1.280876,103.78656174
207,1.282376,103.78656174
208,1.283876,103.78656174
209,1.285376,103.78656174
210,1.286876,103.78656174
211,1.288376,103.78656174
212,1.289876,103.78656174
213,1.291376,103.78656174
214,1.292876,103.78656174
215,1.294376,103.78656174
216,1.295876,103.78656174
217,1.297376,103.78656174
218,1.298876,103.78656174
219,1.300376,103.78656174
220,1.301876,103.78656174
221,1.303376,103.78656174
222,1.304876,103.78656174
223,1.306376,103.78656174
224,1.307876,103.78656174
225,1.309376,103.78656174
226,1.310876,103.78656174
227,1.312376,103.78656174
228,1.313876,103.78656174
229,1.315376,103.78656174
230,1.316876,103.78656174
231,1.318376,103.78656174
232,1.319876,103.78656174
233,1.321376,103.78656174
234,1.322876,103.78656174
235,1.324376,103.78656174
236,1.325876,103.78656174
237,1.327376,103.78656174
238,1.328876,103.78656174
239,1.330376,103.78656174
240,1.331876,103.78656174
241,1.333376,103.78656174
242,1.334876,103.78656174
243,1.268876,103.788062128
244,1.270376,103.788062128
245,1.271876,103.788062128
246,1.273376,103.788062128
247,1.274876,103.788062128
248,1.276376,103.788062128
249,1.277876,103.788062128
250,1.279376,103.788062128
251,1.280876,103.788062128
252,1.282376,103.788062128
253,1.283876,103.788062128
254,1.285376,103.788062128
255,1.286876,103.788062128
256,1.288376,103.788062128
257,1.289876,103.788062128
258,1.291376,103.788062128
259,1.292876,103.788062128
260,1.294376,103.788062128
261,1.295876,103.788062128
262,1.297376,103.788062128
263,1.298876,103.788062128
264,1.300376,103.788062128
265,1.301876,103.788062128
266,1.303376,103.788062128
267,1.304876,103.788062128
268,1.306376,103.788062128
269,1.307876,103.788062128
270,1.309376,103.788062128
271,1.310876,103.788062128
272,1.312376,103.788062128
273,1.313876,103.788062128
274,1.315376,103.788062128
275,1.316876,103.788062128
276,1.318376,103.788062128
277,1.319876,103.788062128
278,1.321376,103.788062128
279,1.322876,103.788062128
280,1.324376,103.788062128
281,1.325876,103.788062128
282,1.327376,103.788062128
283,1.328876,103.788062128
284,1.330376,103.788062128
285,1.331876,103.788062128
286,1.333376,103.788062128
287,1.334876,103.788062128
288,1.336376,103.788062128
289,1.267376,103.789562516
290,1.268876,103.789562516
291,1.270376,103.789562516
292,1.271876,103.789562516
293,1.273376,103.789562516
294,1.274876,103.789562516
295,1.276376,103.789562516
296,1.277876,103.789562516
297,1.279376,103.789562516
298,1.280876,103.789562516
299,1.282376,103.789562516
300,1.283876,103.789562516
301,1.285376,103.789562516
302,1.286876,103.789562516
303,1.288376,103.789562516
304,1.289876,103.789562516
305,1.291376,103.789562516
306,1.292876,103.789562516
307,1.294376,103.789562516
308,1.295876,103.789562516
309,1.297376,103.789562516
310,1.298876,103.789562516
311,1.300376,103.789562516
312,1.301876,103.789562516
