,lat,lng,dir,city,D1,D2,M
213,42.303131,-71.1054207893,1,boston,#4e481f,#3d2c18,#72624f
214,42.303131,-71.1054207893,2,boston,#7f4726,#b9a693,#625b53
215,42.303131,-71.1054207893,3,boston,#292620,#b1c5db,#7e786b
216,42.303131,-71.1074505086,0,boston,#2e2a20,#626549,#5a6d6b
217,42.303131,-71.1074505086,1,boston,,,
218,42.303131,-71.1074505086,2,boston,,,
219,42.303131,-71.1074505086,3,boston,,,
220,42.303131,-71.1135396665,0,boston,#543a1b,#36481f,#a29d94
221,42.303131,-71.1135396665,1,boston,,,
222,42.303131,-71.1135396665,2,boston,#131106,#503b23,#232216
223,42.303131,-71.1135396665,3,boston,#301e0c,#3a2a11,#a09991
224,42.303131,-71.1155693858,0,boston,#00121a,#04302d,#16516f
225,42.303131,-71.1155693858,1,boston,#144c6e,#0f3e51,#2e3e3a
226,42.303131,-71.1155693858,2,boston,#302716,#aa7d52,#464d3f
227,42.303131,-71.1155693858,3,boston,#d50a2f,#de2247,#505045
228,42.303131,-71.1175991051,0,boston,,,
229,42.303131,-71.1175991051,1,boston,,,
230,42.303131,-71.1175991051,2,boston,,,
231,42.303131,-71.1175991051,3,boston,,,
232,42.303131,-71.1196288244,0,boston,,,
233,42.303131,-71.1196288244,1,boston,,,
234,42.303131,-71.1196288244,2,boston,,,
235,42.303131,-71.1196288244,3,boston,,,
236,42.304631,-71.056707526,0,boston,#8e5e5c,#1c1d1a,#777770
237,42.304631,-71.056707526,1,boston,#9b9280,#1d1d18,#53524a
238,42.304631,-71.056707526,2,boston,#454439,#24251f,#454439
239,42.304631,-71.056707526,3,boston,#40412c,#0e100d,#7e7d77
240,42.304631,-71.0587372453,0,boston,#4c3e20,#6b5537,#566b75
241,42.304631,-71.0587372453,1,boston,#181109,#5d442a,#302b25
242,42.304631,-71.0587372453,2,boston,#803238,#5d4e2e,#747269
243,42.304631,-71.0587372453,3,boston,#2c120f,#69332d,#785a50
244,42.304631,-71.0607669646,0,boston,#271a03,#936b46,#7a7159
245,42.304631,-71.0607669646,1,boston,,,
246,42.304631,-71.0607669646,2,boston,,,
247,42.304631,-71.0607669646,3,boston,#74432f,#516329,#74432f
248,42.304631,-71.0648264032,0,boston,#2d230e,#676e4a,#42443e
249,42.304631,-71.0648264032,1,boston,#1f1a00,#54311f,#4b4942
250,42.304631,-71.0648264032,2,boston,#1a0803,#381f12,#5f4f2e
251,42.304631,-71.0648264032,3,boston,#140d05,#5d4e2b,#736652
252,42.304631,-71.0668561225,0,boston,#5e4719,#1d1308,#5f5544
253,42.304631,-71.0668561225,1,boston,#2d1406,#836238,#3b3327
254,42.304631,-71.0668561225,2,boston,#a27f6a,#8d7865,#4a4e46
255,42.304631,-71.0668561225,3,boston,#724c2c,#41281a,#7c755f
256,42.304631,-71.0688858418,0,boston,,,
257,42.304631,-71.0688858418,1,boston,,,
258,42.304631,-71.0688858418,2,boston,#31340b,#12221d,#1d3530
259,42.304631,-71.0688858418,3,boston,#b72c2c,#2d5ca4,#2d5ca4
260,42.304631,-71.0709155611,0,boston,#8299a9,#33362d,#7f7e6f
261,42.304631,-71.0709155611,1,boston,#4f1b2b,#7e4d33,#79776b
262,42.304631,-71.0709155611,2,boston,#a16658,#1f1a11,#40362f
263,42.304631,-71.0709155611,3,boston,#182906,#79432c,#926853
264,42.304631,-71.0729452804,0,boston,#555a27,#18120f,#3f3a2d
265,42.304631,-71.0729452804,1,boston,#45443c,#131311,#45443c
266,42.304631,-71.0729452804,2,boston,#324a59,#1a1e1d,#324a59
267,42.304631,-71.0729452804,3,boston,#5a5b33,#2d2b1e,#958e81
268,42.304631,-71.0749749997,0,boston,#5c5437,#443e2b,#aca187
269,42.304631,-71.0749749997,1,boston,,,
270,42.304631,-71.0749749997,2,boston,#aba36f,#5e594f,#5e594f
271,42.304631,-71.0749749997,3,boston,#41421d,#412a27,#5f584f
272,42.304631,-71.077004719,0,boston,#a16747,#a48f6c,#505757
273,42.304631,-71.077004719,1,boston,#643a29,#9c6646,#9c6646
274,42.304631,-71.077004719,2,boston,,,
275,42.304631,-71.077004719,3,boston,#af9f79,#6a6350,#6a6350
276,42.304631,-71.0790344383,0,boston,#5e5345,#1a1813,#6e6756
277,42.304631,-71.0790344383,1,boston,#99b6ce,#93a6b8,#3d484b
278,42.304631,-71.0790344383,2,boston,#7a7343,#524d3e,#6a6255
279,42.304631,-71.0790344383,3,boston,#615a2d,#98944e,#8d8877
280,42.304631,-71.0810641576,0,boston,#c2a689,#29221d,#4e483b
281,42.304631,-71.0810641576,1,boston,#04080c,#5c571f,#261e16
282,42.304631,-71.0810641576,2,boston,#5f4730,#67593f,#53463d
283,42.304631,-71.0810641576,3,boston,#522921,#84493a,#b07e6b
284,42.304631,-71.0830938769,0,boston,#352214,#3f351d,#444f53
285,42.304631,-71.0830938769,1,boston,#1e0f00,#2f384f,#706961
286,42.304631,-71.0830938769,2,boston,#342d0b,#296368,#38342f
287,42.304631,-71.0830938769,3,boston,#2b5558,#946e5d,#2d2625
288,42.304631,-71.0851235962,0,boston,,,
289,42.304631,-71.0851235962,1,boston,#322823,#211e18,#322823
290,42.304631,-71.0851235962,2,boston,#48371d,#2b3942,#2b211e
291,42.304631,-71.0851235962,3,boston,#433d24,#997d5f,#888275
292,42.304631,-71.0932424734,0,boston,,,
293,42.304631,-71.0932424734,1,boston,,,
294,42.304631,-71.0932424734,2,boston,,,
295,42.304631,-71.0932424734,3,boston,,,
296,42.304631,-71.0952721927,0,boston,,,
297,42.304631,-71.0952721927,1,boston,,,
298,42.304631,-71.0952721927,2,boston,,,
299,42.304631,-71.0952721927,3,boston,,,
300,42.304631,-71.10339107,0,boston,,,
301,42.304631,-71.10339107,1,boston,,,
302,42.304631,-71.10339107,2,boston,,,
303,42.304631,-71.10339107,3,boston,,,
304,42.304631,-71.1054207893,0,boston,#5e7e97,#151f1f,#333e40
305,42.304631,-71.1054207893,1,boston,#393912,#714c50,#4b4c44
306,42.304631,-71.1054207893,2,boston,#5c1c12,#45201a,#262f35
307,42.304631,-71.1054207893,3,boston,#8b3841,#879faf,#2a3336
308,42.304631,-71.1074505086,0,boston,#24271d,#3d3e2f,#999487
309,42.304631,-71.1074505086,1,boston,#28351f,#7f6558,#ada79a
310,42.304631,-71.1074505086,2,boston,#2c2d27,#363832,#2c2d27
311,42.304631,-71.1074505086,3,boston,#32302a,#24251f,#4e4c45
312,42.304631,-71.1094802279,0,boston,#963139,#76282b,#bfb6a7
313,42.304631,-71.1094802279,1,boston,,,
314,42.304631,-71.1094802279,2,boston,,,
315,42.304631,-71.1094802279,3,boston,#160f09,#342d15,#91897a
316,42.304631,-71.1135396665,0,boston,#30476c,#836440,#2e3b32
317,42.304631,-71.1135396665,1,boston,#20170d,#2c2617,#a1988b
318,42.304631,-71.1135396665,2,boston,#6c4e2f,#8b724f,#8b724f
319,42.304631,-71.1135396665,3,boston,#6d5736,#5b462f,#907857
320,42.304631,-71.1155693858,0,boston,#62341c,#c5844d,#ab8164
321,42.304631,-71.1155693858,1,boston,#282906,#412614,#3e3a2a
322,42.304631,-71.1155693858,2,boston,#24466b,#757e41,#45402c
323,42.304631,-71.1155693858,3,boston,,,
324,42.304631,-71.1175991051,0,boston,#142b39,#332419,#cfcbbc
325,42.304631,-71.1175991051,1,boston,#30271b,#413b30,#30271b
326,42.304631,-71.1175991051,2,boston,#532a24,#0e130c,#585a50
327,42.304631,-71.1175991051,3,boston,#0e190d,#48586f,#585c53
328,42.304631,-71.1196288244,0,boston,#685027,#4f4a2f,#c0b39e
329,42.304631,-71.1196288244,1,boston,#83714d,#3e3627,#3e3627
330,42.304631,-71.1196288244,2,boston,,,
331,42.304631,-71.1196288244,3,boston,,,
332,42.304631,-71.1216585437,0,boston,,,
333,42.304631,-71.1216585437,1,boston,,,
334,42.304631,-71.1216585437,2,boston,,,
335,42.304631,-71.1216585437,3,boston,,,
336,42.306131,-71.056707526,0,boston,#112330,#4c3c2c,#4c3c2c
337,42.306131,-71.056707526,1,boston,#3e3522,#7d6650,#687785
338,42.306131,-71.056707526,2,boston,#241913,#182223,#353a37
339,42.306131,-71.056707526,3,boston,#7791a5,#96afbd,#87867a
340,42.306131,-71.0587372453,0,boston,#db6c61,#a18752,#5e4b3d
341,42.306131,-71.0587372453,1,boston,#2e3d55,#614c3f,#614c3f
342,42.306131,-71.0587372453,2,boston,#6b2f23,#4f271d,#898781
343,42.306131,-71.0587372453,3,boston,#280c00,#461a0f,#d9776b
344,42.306131,-71.0607669646,0,boston,#366162,#2e4849,#4f686b
345,42.306131,-71.0607669646,1,boston,#373733,#706f6a,#5f5f5a
346,42.306131,-71.0607669646,2,boston,#252421,#3d3c38,#3d3c38
347,42.306131,-71.0607669646,3,boston,#462f1b,#664b39,#2f221c
348,42.306131,-71.0627966839,0,boston,#363225,#544e3c,#363225
349,42.306131,-71.0627966839,1,boston,#896050,#2a281f,#565446
350,42.306131,-71.0627966839,2,boston,#5e452f,#22323f,#5c5d4d
351,42.306131,-71.0627966839,3,boston,#080b11,#292c29,#616764
352,42.306131,-71.0648264032,0,boston,#14140c,#61573e,#405153
353,42.306131,-71.0648264032,1,boston,#1c4e35,#453723,#4d5352
354,42.306131,-71.0648264032,2,boston,#585e2b,#646d36,#313428
355,42.306131,-71.0648264032,3,boston,#243344,#3d402f,#6a6859
356,42.306131,-71.0668561225,0,boston,#103422,#323f1c,#454d51
357,42.306131,-71.0668561225,1,boston,#2a5230,#42613d,#686a65
358,42.306131,-71.0668561225,2,boston,#272f3d,#2b201e,#c3bbad
359,42.306131,-71.0668561225,3,boston,#3f361f,#10171a,#79705d
360,42.306131,-71.0688858418,0,boston,#332500,#bca988,#424643
361,42.306131,-71.0688858418,1,boston,#869faf,#849a9e,#7f7e75
362,42.306131,-71.0688858418,2,boston,,,
363,42.306131,-71.0688858418,3,boston,#311c0f,#6683a0,#3f4239
364,42.306131,-71.0709155611,0,boston,#461b0d,#1b2f54,#8a857b
365,42.306131,-71.0709155611,1,boston,#3a4d69,#121317,#767264
366,42.306131,-71.0709155611,2,boston,#b8875c,#75423e,#77705a
367,42.306131,-71.0709155611,3,boston,#859446,#496784,#807970
368,42.306131,-71.0729452804,0,boston,#5e1716,#5e3b17,#e6cbaa
369,42.306131,-71.0729452804,1,boston,,,
370,42.306131,-71.0729452804,2,boston,,,
371,42.306131,-71.0729452804,3,boston,#64431c,#714f29,#e7cba9
372,42.306131,-71.0749749997,0,boston,,,
373,42.306131,-71.0749749997,1,boston,,,
374,42.306131,-71.0749749997,2,boston,#192a32,#502f2a,#583f3a
375,42.306131,-71.0749749997,3,boston,,,
376,42.306131,-71.077004719,0,boston,#7a462a,#a16652,#573c35
377,42.306131,-71.077004719,1,boston,#593717,#813936,#827158
378,42.306131,-71.077004719,2,boston,#81231e,#602129,#665941
379,42.306131,-71.077004719,3,boston,#031c28,#876737,#6c6758
380,42.306131,-71.0790344383,0,boston,#7a692c,#14302a,#4a3f2e
381,42.306131,-71.0790344383,1,boston,,,
382,42.306131,-71.0790344383,2,boston,#121b28,#33505f,#121b28
383,42.306131,-71.0790344383,3,boston,,,
384,42.306131,-71.0810641576,0,boston,#151e34,#497fb1,#525148
385,42.306131,-71.0810641576,1,boston,,,
386,42.306131,-71.0810641576,2,boston,#776b30,#6f6030,#8e7957
387,42.306131,-71.0810641576,3,boston,#2f2b12,#8e785a,#8e785a
388,42.306131,-71.0830938769,0,boston,#2a3d5d,#312519,#a68466
389,42.306131,-71.0830938769,1,boston,#531214,#601f27,#3a2d24
390,42.306131,-71.0830938769,2,boston,#36231e,#806e58,#36231e
391,42.306131,-71.0830938769,3,boston,#816d50,#0c1014,#3d2f28
392,42.306131,-71.0851235962,0,boston,#8d786b,#9db1ca,#8d786b
393,42.306131,-71.0851235962,1,boston,#7b6156,#41312d,#41312d
394,42.306131,-71.0851235962,2,boston,#6b592e,#6f603c,#3b2f26
395,42.306131,-71.0851235962,3,boston,#6f6137,#363223,#494436
396,42.306131,-71.0871533155,0,boston,,,
397,42.306131,-71.0871533155,1,boston,#36425b,#2f334b,#5d5449
398,42.306131,-71.0871533155,2,boston,,,
399,42.306131,-71.0871533155,3,boston,,,
400,42.306131,-71.0952721927,0,boston,,,
401,42.306131,-71.0952721927,1,boston,,,
402,42.306131,-71.0952721927,2,boston,,,
403,42.306131,-71.0952721927,3,boston,,,
404,42.306131,-71.1054207893,0,boston,,,
405,42.306131,-71.1054207893,1,boston,#ecf48f,#b8ba7c,#242823
406,42.306131,-71.1054207893,2,boston,,,
407,42.306131,-71.1054207893,3,boston,,,
408,42.306131,-71.1074505086,0,boston,#001025,#ae5e47,#c9755c
409,42.306131,-71.1074505086,1,boston,,,
410,42.306131,-71.1074505086,2,boston,,,
411,42.306131,-71.1074505086,3,boston,#363100,#766827,#483434
412,42.306131,-71.1094802279,0,boston,#07345d,#3a2316,#baa291
