OBJECTID,POSTCODE,PC_NAME,city,label,lat,lng
2319,,,Boston,Mission Hill,42.33192957,-71.11077854
2320,,,Boston,Mission Hill,42.33385244,-71.11070067
2321,,,Boston,Mission Hill,42.32683088,-71.09870674
2322,,,Boston,Mission Hill,42.33294749,-71.10126393
2323,,,Boston,Mission Hill,42.33112561,-71.10866581
2324,,,Boston,Mission Hill,42.33427669,-71.09373561
2325,,,Boston,Mission Hill,42.33187132,-71.09999412
2326,2445,BROOKLINE,MA,BROOKLINE_02445,42.33240836,-71.11261254
2327,,,Boston,Jamaica Plain,42.32652832,-71.10351095
2328,2445,BROOKLINE,MA,BROOKLINE_02445,42.33496553,-71.11084822
2329,,,Boston,Mission Hill,42.33367966,-71.10977806
2330,,,Boston,Mission Hill,42.3352999,-71.10756906
2331,,,Boston,Mission Hill,42.33195915,-71.09638873
2332,,,Boston,Mission Hill,42.33155892,-71.09751393
2333,,,Boston,Mission Hill,42.33298649,-71.09679909
2334,,,Boston,Mission Hill,42.33392194,-71.10790102
2335,,,Boston,Mission Hill,42.3281749,-71.10381983
2336,,,Boston,Mission Hill,42.33661172,-71.09727572
2337,,,Boston,Mission Hill,42.33156688,-71.09563983
2338,,,Boston,Mission Hill,42.33348512,-71.10938217
2339,,,Boston,Mission Hill,42.334888,-71.10978162
2340,,,Boston,Mission Hill,42.33200219,-71.09838741
2341,,,Boston,Mission Hill,42.33314078,-71.10521562
2342,,,Boston,Mission Hill,42.32822935,-71.09779546
2343,,,Boston,Mission Hill,42.33183395,-71.10866778
2344,,,Boston,Mission Hill,42.33012484,-71.10757504
2345,,,Boston,Mission Hill,42.33085713,-71.09780657
2346,,,Boston,Mission Hill,42.33400969,-71.1007144
2347,,,Boston,Mission Hill,42.3337414,-71.10707799
2348,,,Boston,Jamaica Plain,42.32808911,-71.1091688
2349,,,Boston,Mission Hill,42.33111818,-71.09710952
2350,,,Boston,Mission Hill,42.33365117,-71.09294182
2351,,,Boston,Mission Hill,42.33576533,-71.09256415
2352,,,Boston,Mission Hill,42.33511589,-71.09712995
2353,,,Boston,Mission Hill,42.33155882,-71.11127186
2354,,,Boston,Mission Hill,42.3360716,-71.0976735
2355,,,Boston,Mission Hill,42.33167097,-71.09636612
2356,,,Boston,Mission Hill,42.33075886,-71.10738842
2357,,,Boston,Mission Hill,42.33092514,-71.1003764
2358,,,Boston,Mission Hill,42.33137435,-71.0958612
2359,,,Boston,Mission Hill,42.33417712,-71.09545825
2360,,,Boston,Mission Hill,42.3296498,-71.10103748
2361,,,Boston,Mission Hill,42.33195137,-71.10328446
