,lat,lng,dir,city,sky,tree
279,40.700283,-73.9393704606,3,newyork,7230,22924
280,40.700283,-73.9413504227,0,newyork,13943,9326
281,40.700283,-73.9413504227,1,newyork,8870,5067
282,40.700283,-73.9413504227,2,newyork,320,11077
283,40.700283,-73.9413504227,3,newyork,1,25383
284,40.700283,-73.9433303849,0,newyork,5393,1533
285,40.700283,-73.9433303849,1,newyork,23756,17656
286,40.700283,-73.9433303849,2,newyork,37487,14858
287,40.700283,-73.9433303849,3,newyork,40621,11303
288,40.700283,-73.945310347,0,newyork,5650,98879
289,40.700283,-73.945310347,1,newyork,33685,45173
290,40.700283,-73.945310347,2,newyork,27283,9253
291,40.700283,-73.945310347,3,newyork,49352,23260
292,40.700283,-73.9472903091,0,newyork,51149,9501
293,40.700283,-73.9472903091,1,newyork,37203,6993
294,40.700283,-73.9472903091,2,newyork,54912,4545
295,40.700283,-73.9472903091,3,newyork,59151,4441
296,40.700283,-73.9492702713,0,newyork,70718,2298
297,40.700283,-73.9492702713,1,newyork,62350,1366
298,40.700283,-73.9492702713,2,newyork,42193,3293
299,40.700283,-73.9492702713,3,newyork,64305,4414
300,40.700283,-73.9512502334,0,newyork,0,62169
301,40.700283,-73.9512502334,1,newyork,23888,30201
302,40.700283,-73.9512502334,2,newyork,0,20842
303,40.700283,-73.9512502334,3,newyork,17404,23240
304,40.700283,-73.9532301956,0,newyork,3,2288
305,40.700283,-73.9532301956,1,newyork,19737,21822
306,40.700283,-73.9532301956,2,newyork,26576,169
307,40.700283,-73.9532301956,3,newyork,25743,99
308,40.700283,-73.9552101577,0,newyork,32243,25834
309,40.700283,-73.9552101577,1,newyork,34074,576
310,40.700283,-73.9552101577,2,newyork,22363,610
311,40.700283,-73.9552101577,3,newyork,35591,35418
312,40.700283,-73.9571901199,0,newyork,30436,25998
313,40.700283,-73.9571901199,1,newyork,16923,92
314,40.700283,-73.9571901199,2,newyork,27242,706
315,40.700283,-73.9571901199,3,newyork,12585,4902
316,40.700283,-73.959170082,0,newyork,45567,3207
317,40.700283,-73.959170082,1,newyork,37616,3883
318,40.700283,-73.959170082,2,newyork,22569,337
319,40.700283,-73.959170082,3,newyork,41056,3306
320,40.700283,-73.9611500442,0,newyork,59759,20492
321,40.700283,-73.9611500442,1,newyork,21799,20549
322,40.700283,-73.9611500442,2,newyork,35759,4
323,40.700283,-73.9611500442,3,newyork,61993,2002
324,40.700283,-73.9631300063,0,newyork,67166,777
325,40.700283,-73.9631300063,1,newyork,70996,7147
326,40.700283,-73.9631300063,2,newyork,71237,12676
327,40.700283,-73.9631300063,3,newyork,73196,9161
328,40.700283,-73.9809496656,0,newyork,69079,25490
329,40.700283,-73.9809496656,1,newyork,80158,4553
