,source,target,value
263,boston_Area2MIT,boston_SOMERVILLE_02145,0.23501
264,boston_Area2MIT,boston_SouthBoston,0
265,boston_Area2MIT,boston_SouthBostonWaterfront,0.31099
266,boston_Area2MIT,boston_SouthEnd,0
267,boston_Area2MIT,boston_ThePort,0.07137
268,boston_Area2MIT,boston_WATERTOWN_02472,0.71277
269,boston_Area2MIT,boston_WellingtonHarrington,0.263775
270,boston_Area2MIT,boston_WestCambridge,0.053985
271,boston_Area2MIT,boston_WestEnd,0.37995
272,boston_Area2MIT,chicago_ArmourSquare,0.346109
273,boston_Area2MIT,chicago_Bridgeport,0
274,boston_Area2MIT,chicago_Douglas,0
275,boston_Area2MIT,chicago_EastGarfieldPark,0
276,boston_Area2MIT,chicago_HumboldtPark,0
277,boston_Area2MIT,chicago_LincolnPark,0.242815
278,boston_Area2MIT,chicago_LoganSquare,0.041136
279,boston_Area2MIT,chicago_Loop,0.6509
280,boston_Area2MIT,chicago_LowerWestSide,0
281,boston_Area2MIT,chicago_McKinleyPark,0
282,boston_Area2MIT,chicago_NearNorthSide,0.31333
283,boston_Area2MIT,chicago_NearSouthSide,0.6272
284,boston_Area2MIT,chicago_NearWestSide,0.126086
285,boston_Area2MIT,chicago_NorthLawndale,0
286,boston_Area2MIT,chicago_SouthLawndale,0.203495
287,boston_Area2MIT,chicago_WestTown,0.34183
288,boston_Area2MIT,newyork_AstoriaLongIslandCity,0.22335
289,boston_Area2MIT,newyork_BatteryPark,0
290,boston_Area2MIT,newyork_CarnegieHill,0
291,boston_Area2MIT,newyork_CentralPark,0.20891
292,boston_Area2MIT,newyork_Chelsea,0
293,boston_Area2MIT,newyork_Chinatown,0
294,boston_Area2MIT,newyork_Clinton,0.22221
295,boston_Area2MIT,newyork_EastHarlem,0.039656
296,boston_Area2MIT,newyork_EastVillage,0
297,boston_Area2MIT,newyork_FinancialDistrict,0.12706
298,boston_Area2MIT,newyork_GarmentDistrict,0
299,boston_Area2MIT,newyork_Gramercy,0
300,boston_Area2MIT,newyork_Greenpoint,0.170395
301,boston_Area2MIT,newyork_GreenwichVillage,0
302,boston_Area2MIT,newyork_LittleItaly,0
303,boston_Area2MIT,newyork_LowerEastSide,0.105055
304,boston_Area2MIT,newyork_Maspeth,0.116465
305,boston_Area2MIT,newyork_Midtown,0.453505
306,boston_Area2MIT,newyork_MurrayHill,0
307,boston_Area2MIT,newyork_NorthSuttonArea,0.157335
308,boston_Area2MIT,newyork_Soho,0.05121
309,boston_Area2MIT,newyork_Steinway,0
310,boston_Area2MIT,newyork_SunnySide,0
311,boston_Area2MIT,newyork_TheWaterfront,0
312,boston_Area2MIT,newyork_Tribeca,0.211405
313,boston_Area2MIT,newyork_UpperEastSide,0.114
314,boston_Area2MIT,newyork_UpperWestSide,0
