,lat,lng,tree,sky
234,41.835604,-87.618288511,76346.25,7030.75
235,41.835604,-87.6203030267,71437.25,18541.75
236,41.835604,-87.6223175424,48425.5,37296.5
237,41.835604,-87.6263465738,90978.0,25423.5
238,41.835604,-87.6283610895,54422.75,46486.5
239,41.835604,-87.6303756052,18923.0,68541.75
240,41.835604,-87.6323901209,54542.0,12372.25
241,41.835604,-87.6344046366,67666.25,21717.5
242,41.835604,-87.6364191523,3291.5,37264.5
243,41.835604,-87.638433668,61867.0,19263.0
244,41.835604,-87.6404481837,53036.0,12534.0
245,41.835604,-87.6424626994,55475.5,31962.75
246,41.835604,-87.6444772151,31927.75,41017.25
247,41.835604,-87.6464917308,11448.75,40678.25
248,41.835604,-87.6485062465,32831.5,27759.75
249,41.835604,-87.6505207622,40915.25,21441.5
250,41.835604,-87.6525352779,66913.25,25608.5
251,41.835604,-87.6545497935,25640.5,26909.75
252,41.835604,-87.6565643092,51423.25,31206.5
253,41.835604,-87.6585788249,63803.25,21302.0
254,41.835604,-87.6605933406,13760.5,71541.75
255,41.835604,-87.6626078563,41250.5,66646.0
256,41.835604,-87.664622372,28116.0,73819.5
257,41.835604,-87.6666368877,34188.25,39407.25
258,41.835604,-87.6686514034,39095.75,44680.0
259,41.835604,-87.6706659191,11260.0,58803.25
260,41.835604,-87.6726804348,36770.0,51374.0
261,41.835604,-87.6746949505,15081.75,52810.5
262,41.835604,-87.6767094662,13526.5,67116.75
263,41.835604,-87.6787239819,2757.75,60228.75
264,41.835604,-87.6807384976,34376.75,48990.25
265,41.835604,-87.6827530133,5977.25,80630.25
266,41.835604,-87.684767529,9463.5,78379.0
267,41.837104,-87.6062014168,54297.0,69915.5
268,41.837104,-87.6082159325,59650.0,48593.0
269,41.837104,-87.6142594796,50680.75,14824.25
270,41.837104,-87.6162739953,78564.0,28011.75
271,41.837104,-87.618288511,90362.0,4996.5
272,41.837104,-87.6203030267,44482.75,30090.0
273,41.837104,-87.6223175424,28012.5,39203.25
274,41.837104,-87.6263465738,91392.25,34409.25
