,0,1
324,11960,11963
325,1421,9374
326,10674,10712
327,15886,16570
328,9657,9680
329,9479,10350
330,5670,13467
331,9415,11330
332,11734,11739
333,2125,7175
334,1218,4496
335,11874,12868
336,12280,14437
337,14951,14955
338,12308,12812
339,1890,3155
340,5460,8032
341,11491,17054
342,5893,6126
343,12763,12770
344,3854,3940
345,3626,6084
346,5076,5489
347,4955,7750
348,13734,16627
349,6833,7489
350,12519,13077
351,7526,9272
352,12354,13893
353,2705,4351
354,12749,13874
355,15940,16531
356,625,663
357,1660,2798
358,13653,14866
359,10496,16030
360,25,552
361,12416,12453
362,1773,2654
363,944,5059
364,8300,8323
365,10494,10508
366,2653,2811
367,671,6651
368,1173,2028
369,6375,13745
370,13191,13565
371,10070,11916
372,13824,14077
373,7041,11752
374,8557,16308
375,8776,8782
376,4698,4710
377,12378,12433
378,2025,2026
379,3105,3267
380,6047,7589
381,10552,11669
382,14480,14623
383,5346,13280
384,353,452
385,8926,15714
386,13041,13460
387,502,873
388,11632,11664
389,17,240
390,4753,12449
391,8379,9283
392,11536,11885
393,7281,11185
394,3373,13023
395,16101,16146
396,402,6759
397,3252,13566
398,2499,2512
399,9633,11535
400,7180,7263
401,7958,14528
402,6017,7256
403,639,3649
404,6418,7886
405,8326,10608
406,15116,16716
407,14463,15298
408,9112,11839
409,8582,10140
410,12952,13296
411,11582,11697
412,4254,5522
413,13300,14090
414,12813,12816
415,10539,17197
416,14080,14084
417,4303,14066
418,7145,9704
419,16289,16318
420,8829,15571
421,1824,2043
422,13127,14720
423,1600,3662
424,398,1931
425,12932,15618
426,6046,6139
427,938,4839
428,12880,14256
429,5786,13211
430,8832,9787
431,14797,16518
432,16349,16757
433,1436,2801
434,3668,7843
435,12258,12425
436,5643,9403
437,11162,16456
438,7708,7725
439,3843,17058
440,10457,15942
441,15517,15573
442,6758,7321
443,7369,7908
444,2141,3351
445,4447,4689
446,16145,16641
447,7856,14324
448,13538,15346
449,15624,16834
450,4141,4157
451,8226,10909
452,1379,6882
453,3701,3858
454,8473,9618
455,17024,17077
456,9049,9180
457,5906,6090
458,12769,13072
459,15622,16482
460,12315,13388
461,2804,4605
462,5531,5592
463,1745,1817
464,1,1140
465,16058,16319
466,15357,15358
467,6945,7032
468,10500,10545
469,4969,6269
470,1078,5184
471,3512,3766
472,9057,9686
473,8858,9013
474,9677,10356
475,10351,10540
476,13164,13578
477,3003,5603
478,10647,10706
479,1945,2066
480,1020,7102
481,2549,4276
482,15862,16252
483,15395,15889
484,12873,16704
485,15694,15695
486,5330,13196
487,6834,7506
488,12845,13740
489,510,2386
490,2400,17293
491,11873,11883
492,5181,5200
493,9428,9506
494,6495,7311
495,9120,10462
496,14214,14426
497,10417,11196
498,4308,15934
499,5234,16910
500,14925,14936
501,12531,12555
502,8954,16476
503,3287,7133
504,4028,4436
505,8885,9484
506,14994,16607
507,680,6035
508,12324,13035
509,14763,14871
510,13186,14381
511,5569,10788
512,4064,4432
513,3195,3385
514,16235,16237
515,7190,11400
516,11426,11543
517,8828,9940
518,15555,15805
519,3822,15115
520,1269,1739
521,3029,4660
522,8801,8831
523,5696,6350
524,12739,12941
525,12642,13633
526,7361,17219
527,2827,3731
528,10547,10866
529,14089,14712
530,10247,10951
531,8738,8875
532,3002,3015
533,3452,4857
534,129,2747
535,4589,13197
536,2312,5949
537,7239,7427
538,7071,7277
539,11512,17071
540,9866,9933
541,669,7542
542,10538,10544
543,16479,16864
544,11937,17093
545,7548,15345
546,12383,15505
547,3865,4460
548,9666,13991
549,634,813
550,15181,16193
551,10310,11992
552,3083,4245
553,9032,11485
554,4791,5231
555,13363,13462
556,6740,6947
557,7485,12101
558,5901,8819
559,10372,16151
560,10394,11269
561,647,1227
562,8127,15856
563,13051,14530
564,2666,4770
565,15110,15290
566,8600,8697
567,391,6385
568,2356,15638
569,7201,11206
570,11630,11706
571,12889,13801
572,2164,3307
573,11587,16383
574,7027,7067
575,9472,15644
576,2638,12629
577,8352,9793
578,1247,1397
579,13598,13619
580,12634,14200
581,2022,9648
582,16658,16707
583,10748,10892
584,7273,8091
585,2391,3084
586,5848,14813
587,8165,8579
588,16967,16985
589,7889,7901
590,14516,15540
591,12780,13904
592,10245,10448
593,13820,13902
594,12571,15012
595,7535,8510
596,15936,16275
597,3055,15702
598,12998,14104
599,15870,15871
600,7018,11105
601,16061,16533
602,651,15967
603,8902,9489
604,5452,8387
605,6254,7285
606,9689,10116
607,3177,3178
608,14930,14974
609,3735,4222
610,513,5609
611,4844,5212
612,15510,15691
613,15406,15451
614,3652,3673
615,11615,11713
616,11730,11731
617,10868,11195
618,5434,7421
619,16515,17301
620,9519,16253
621,5266,5430
622,13731,14612
623,14322,15959
624,4146,5663
625,302,311
626,7213,8328
627,649,5267
628,4121,13954
629,6842,7093
630,10456,17035
631,5022,17343
632,16033,16069
633,10758,10791
634,7691,7929
635,2092,2460
636,13391,13509
637,8889,15609
638,7084,7244
639,1320,1499
640,12533,12751
641,4918,11989
642,1299,12445
643,589,4547
644,5394,9639
645,13260,13307
646,13146,15191
647,16993,16998
648,1766,1819
649,929,1696
650,2848,2867
651,14819,14827
652,2600,9942
653,8375,11935
654,9018,10215
655,15351,15352
656,8259,12106
657,7767,7782
658,16174,16475
659,11866,11884
660,9557,11068
661,5014,5109
662,12905,13999
663,12369,12373
664,12622,14568
665,7899,7991
666,294,3552
667,672,3413
668,14703,16121
669,11143,11240
670,7161,17038
671,7597,11391
672,8809,9742
673,15320,16501
674,10741,13957
675,12881,13065
676,13728,14013
677,9541,14634
678,5827,12783
679,14063,14067
680,7401,7546
681,1681,16496
682,2576,5352
683,12928,12979
684,8459,11055
685,567,5525
686,13696,13700
687,12923,15281
688,8062,15890
689,9548,17338
690,7413,16431
691,12718,14061
692,153,155
693,1593,1899
694,6009,6397
695,12978,13865
696,9285,11109
697,1571,17110
698,17028,17254
699,14128,17157
700,444,5395
701,2121,17021
702,15991,17055
703,749,12540
704,2873,16457
705,14338,15179
706,8487,8845
707,827,4861
708,12306,15231
709,16623,16842
710,6322,7839
711,10861,11548
712,12432,13811
713,1165,3262
714,1211,4448
715,10952,11744
716,12410,14326
717,13050,14507
718,13444,17122
719,6507,15475
720,16144,16166
721,39,364
722,11353,11542
723,278,5418
724,14456,17083
725,5648,17264
726,12574,13920
727,4236,4260
728,4120,15254
729,10884,10895
730,1517,12172
731,2862,5097
732,11184,16438
733,7379,16296
734,164,3803
735,13068,13536
736,9030,9504
737,8215,16736
738,12447,12511
739,4058,11955
740,7893,11458
741,8839,15912
742,13089,14199
743,2502,5601
744,8549,10185
745,3168,6501
746,231,5650
747,10673,10854
748,13105,13870
749,1543,9772
750,14087,14382
751,6482,7807
752,8538,16265
753,624,741
754,9295,9580
755,15584,16420
756,338,7590
757,13305,13496
758,7355,16394
759,2074,3741
760,7029,7419
761,870,3574
762,14450,14973
763,11261,11690
764,13508,14418
765,6091,6373
766,10635,13368
767,5753,5755
768,2056,10671
769,120,5354
770,15909,15941
771,9997,10056
772,12913,13481
773,8817,10013
774,9114,11971
775,12604,12612
776,4873,10974
777,5859,6381
778,1199,1781
779,1783,1868
780,13807,17206
781,8922,9416
782,13394,13404
783,13295,15145
784,10370,10460
785,13347,14109
786,12313,12589
787,66,2496
788,503,15887
789,9300,10000
790,12472,12940
791,5539,5540
792,7332,7333
793,12750,12946
