name,1,2,3,4,5,6,7,8,9,10
MurrayHill,"newyork/40.74931645,-73.97948837_3.png","newyork/40.74601845,-73.97491961_3.png","newyork/40.74885378,-73.97643673_3.png","newyork/40.74875421,-73.97445143_2.png","newyork/40.74829261,-73.97367226_0.png","newyork/40.74566212,-73.9712437_3.png","newyork/40.7473604,-73.97584978_0.png","newyork/40.74716121,-73.9694011_3.png","newyork/40.74675422,-73.97684858_0.png","newyork/40.74692174,-73.97675799_1.png"
NorthSuttonArea,"newyork/40.75443712,-73.96226386_2.png","newyork/40.75615552,-73.96522857_0.png","newyork/40.75436105,-73.96248014_1.png","newyork/40.75902306,-73.96027062_1.png","newyork/40.75744961,-73.96142889_2.png","newyork/40.7577203,-73.95919417_1.png","newyork/40.75981183,-73.96389549_1.png","newyork/40.75902524,-73.96043089_0.png","newyork/40.75708752,-73.96400489_1.png","newyork/40.75833631,-73.95976707_3.png"
Soho,"newyork/40.72542329,-73.99816001_0.png","newyork/40.72336692,-73.99828712_3.png","newyork/40.72151456,-74.0024253_0.png","newyork/40.72494058,-74.00061165_0.png","newyork/40.72126187,-74.00356509_3.png","newyork/40.72707146,-73.99968748_1.png","newyork/40.72641012,-74.00741989_1.png","newyork/40.72176065,-74.0019256_3.png","newyork/40.72336692,-73.99828712_0.png","newyork/40.72692306,-74.00572781_1.png"
Steinway,"newyork/40.77460393,-73.91726333_2.png","newyork/40.78180745,-73.91477313_3.png","newyork/40.77775453,-73.92119375_0.png","newyork/40.7729816,-73.91095443_3.png","newyork/40.78084073,-73.91875884_2.png","newyork/40.77705581,-73.92305491_0.png","newyork/40.7798463,-73.9186465_2.png","newyork/40.7743039,-73.90660335_3.png","newyork/40.77845191,-73.91143619_0.png","newyork/40.77692423,-73.91220157_2.png"
SunnySide,"newyork/40.73908307,-73.95936603_2.png","newyork/40.73544997,-73.91763059_0.png","newyork/40.74347478,-73.93660496_1.png","newyork/40.74338517,-73.94248498_0.png","newyork/40.7300423,-73.92624441_2.png","newyork/40.73729426,-73.9195021_2.png","newyork/40.74025092,-73.93142072_0.png","newyork/40.74525854,-73.93594638_0.png","newyork/40.74147506,-73.93519187_1.png","newyork/40.7446059,-73.94645098_1.png"
TheWaterfront,"newyork/40.73260327,-74.03571951_3.png","newyork/40.7292503,-74.03074943_3.png","newyork/40.72826267,-74.03404654_2.png","newyork/40.72749022,-74.03069141_0.png","newyork/40.73118522,-74.03204256_2.png","newyork/40.73355491,-74.03435664_2.png","newyork/40.73053069,-74.03254267_0.png","newyork/40.73191048,-74.03437139_1.png","newyork/40.73288139,-74.03393473_0.png","newyork/40.73135152,-74.03559231_1.png"
Tribeca,"newyork/40.71769411,-74.00531681_0.png","newyork/40.72096522,-74.01534369_0.png","newyork/40.72544195,-74.01167743_2.png","newyork/40.71784264,-74.00987923_2.png","newyork/40.7174593,-74.00452939_0.png","newyork/40.71476761,-74.00608854_1.png","newyork/40.72242886,-74.0065377_1.png","newyork/40.72352382,-74.00791719_0.png","newyork/40.71975167,-74.00235261_0.png","newyork/40.71975167,-74.00235261_3.png"
UpperEastSide,"newyork/40.766247,-73.96276537_3.png","newyork/40.76710665,-73.95953914_1.png","newyork/40.76495694,-73.97111498_0.png","newyork/40.77663631,-73.95634076_2.png","newyork/40.77505398,-73.96195105_3.png","newyork/40.76602233,-73.96086171_3.png","newyork/40.77286217,-73.95181782_1.png","newyork/40.77733951,-73.9622218_1.png","newyork/40.77317182,-73.95367262_0.png","newyork/40.77270761,-73.95188635_1.png"
UpperWestSide,"newyork/40.77533001,-73.98841888_2.png","newyork/40.79565496,-73.97708367_2.png","newyork/40.78963372,-73.96946843_1.png","newyork/40.78550445,-73.98486799_2.png","newyork/40.7768784,-73.97828641_3.png","newyork/40.78550445,-73.98486799_3.png","newyork/40.79143652,-73.97332631_1.png","newyork/40.79521722,-73.97776332_1.png","newyork/40.78826469,-73.9830882_0.png","newyork/40.7916758,-73.97630019_2.png"
WestVillage,"newyork/40.73761697,-74.0072268_1.png","newyork/40.73900294,-74.00665682_3.png","newyork/40.73545196,-74.00389147_1.png","newyork/40.73773054,-74.00745114_1.png","newyork/40.73202284,-74.00567142_0.png","newyork/40.73554732,-74.00769319_3.png","newyork/40.73083391,-74.00531217_1.png","newyork/40.73258132,-74.00498963_2.png","newyork/40.73607877,-74.00571382_1.png","newyork/40.73277767,-74.0077237_1.png"
