lat,lng,_r,_g,_b
41.834104,-87.64447722,0.12745098,0.071983063,0.370457516
41.834104,-87.64649173,0.056756757,0.159003008,0.202788671
41.834104,-87.64850625,0.120155039,0.087221095,0.241666667
41.834104,-87.65052076,0.090835361,0.265332473,0.253104575
41.834104,-87.65253528,0.056447298,0.257650951,0.364705882
41.834104,-87.65454979,0.048051948,0.254377271,0.320826709
41.834104,-87.65656431,0.120915033,0.077039275,0.23600713
41.834104,-87.65857882,0.078351449,0.396979504,0.259663866
41.834104,-87.66059334,0.216666667,0.031055901,0.315686275
41.834104,-87.66462237,0.025877193,0.417429513,0.305994398
41.834104,-87.66663689,0.142473118,0.094728801,0.342222222
41.834104,-87.6686514,0.087104072,0.123394752,0.468235294
41.834104,-87.67066592,0.504464286,0.010777521,0.768923418
41.834104,-87.67268043,0.042067859,0.375516529,0.361531279
41.834104,-87.67469495,0.560606061,0.039568345,0.726797386
41.834104,-87.67670947,0.041390728,0.322994652,0.244444444
41.834104,-87.67872398,0.56712963,0.021028037,0.383641457
41.834104,-87.6807385,0.106519743,0.270391061,0.300840336
41.834104,-87.68275301,0.113978495,0.161795407,0.341532977
41.834104,-87.68476753,0.122529644,0.180360007,0.564203117
41.834104,-87.68678204,0.083333333,0.265432099,0.211764706
41.834104,-87.68879656,0.277777778,0.010135135,0.773856209
41.834104,-87.69081108,0.106837607,0.1050404,0.679477124
41.835604,-87.60620142,,,
41.835604,-87.60821593,0.166666667,0.002469136,0.794117647
41.835604,-87.61224496,0.604166667,0.109756098,0.42875817
41.835604,-87.61828851,0.038307604,0.477868852,0.281430219
41.835604,-87.62030303,0.022522523,0.082405345,0.220098039
41.835604,-87.62231754,0.095800525,0.237383178,0.209803922
41.835604,-87.62634657,0.104166667,0.067226891,0.466666667
41.835604,-87.62836109,0.147058824,0.122302158,0.545098039
41.835604,-87.63037561,0.277777778,0.021428571,0.549019608
41.835604,-87.63239012,0.416666667,0.023866348,0.24896019
41.835604,-87.63440464,0.09726776,0.275768535,0.510265283
41.835604,-87.63641915,0.279599271,0.050561798,0.367072346
41.835604,-87.63843367,0.043468764,0.234624846,0.335603715
41.835604,-87.64044818,0.089511754,0.267537494,0.261480076
41.835604,-87.6424627,0.096314908,0.301059002,0.432026144
41.835604,-87.64447722,0.121604938,0.087378641,0.356401384
41.835604,-87.64649173,0.082097239,0.278341648,0.288557955
41.835604,-87.64850625,0.09533378,0.190142639,0.769803922
41.835604,-87.65052076,0.084477124,0.270772498,0.307761438
41.835604,-87.65253528,0.078171091,0.237062937,0.224313725
41.835604,-87.65454979,0.067258383,0.211355678,0.319967987
41.835604,-87.65656431,0.058093834,0.34599694,0.615215686
41.835604,-87.65857882,0.076388889,0.371346705,0.220746363
41.835604,-87.66059334,0.092920354,0.227478611,0.311686275
41.835604,-87.66260786,0.098008386,0.427189683,0.486535948
41.835604,-87.66462237,0.055555556,0.035714286,0.329411765
41.835604,-87.66663689,0.110474006,0.079985324,0.485828877
41.835604,-87.6686514,0.196969697,0.079903148,0.404901961
41.835604,-87.67066592,0.071943208,0.338643703,0.379493464
41.835604,-87.67268043,0.663522013,0.056382979,0.184313725
41.835604,-87.67469495,0.091865538,0.322973645,0.426285109
41.835604,-87.67670947,0.075599129,0.386949924,0.387647059
41.835604,-87.67872398,0.104556355,0.132431402,0.447399829
41.835604,-87.6807385,0.052332196,0.316414687,0.290509804
41.835604,-87.68275301,0.111111111,0.31441048,0.224509804
41.835604,-87.68476753,0.121794872,0.208333333,0.489411765
41.837104,-87.60620142,0.529411765,0.242298851,0.461049285
41.837104,-87.60821593,0.124161074,0.018376912,0.908459384
41.837104,-87.61425948,0.537444934,0.06978174,0.327099045
41.837104,-87.616274,,,
41.837104,-87.61828851,0.133333333,0.023923445,0.819607843
41.837104,-87.62030303,0.39957265,0.03030303,0.403764706
41.837104,-87.62231754,0.044519774,0.482657068,0.413252197
41.837104,-87.62634657,,,
41.837104,-87.62836109,0.275362319,0.13372093,0.168627451
41.837104,-87.63037561,0.126344086,0.140909091,0.345098039
41.837104,-87.63239012,0.445134576,0.065956575,0.330087897
41.837104,-87.63440464,0.098066298,0.216507177,0.247428783
41.837104,-87.63641915,0.075626204,0.381898455,0.226783479
41.837104,-87.64044818,0.116469816,0.114620939,0.445651081
41.837104,-87.6424627,0.069496686,0.368441893,0.300118835
41.837104,-87.64447722,0.075664622,0.21589404,0.273303167
41.837104,-87.64649173,0.055002764,0.1676397,0.313464052
41.837104,-87.64850625,0.112935323,0.062851782,0.836078431
41.837104,-87.65052076,0.05898654,0.141417534,0.212263815
41.837104,-87.65253528,0.370056497,0.032100109,0.379360165
41.837104,-87.65454979,0.083122006,0.320770065,0.283583237
41.837104,-87.65656431,0.982142857,0.073555166,0.213258637
