id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
112,40.701783,-73.99084948,2059,25966.75,5.65919952,0.118825239,0.158962684,0.417048504,#6a6559,Williamsburg
113,40.701783,-73.99282944,194.5,41977,5.092778065,0.023673752,0.505834535,0.398797386,#653932,Williamsburg
114,40.701783,-73.9948094,18266.5,17806.5,5.052280726,0.121755725,0.141820938,0.524978687,#858072,Williamsburg
115,40.701783,-73.99678936,101355,61919.75,5.813083114,0.572072072,0.137546468,0.52745098,#747e86,Williamsburg
116,40.703283,-73.92947065,6680.75,52689,5.851656373,0.08241506,0.310787671,0.381699346,#615243,Williamsburg
117,40.703283,-73.93145061,1589.25,43484.75,5.268458005,0.132764343,0.030827925,0.745228758,#bebcb8,Williamsburg
118,40.703283,-73.93343057,1966,48306.5,5.759787581,0.487987988,0.079607937,0.52915876,#7c8686,Williamsburg
119,40.703283,-73.93541054,7656.75,46789,5.952361664,0.063351499,0.165913201,0.309803922,#4f4641,Williamsburg
120,40.703283,-73.9373905,33053.75,50993.25,5.77572418,0.230902778,0.022604191,0.475854342,#787976,Williamsburg
121,40.703283,-73.94135042,39559.5,19776.5,5.726870945,0.077176298,0.326486745,0.469131653,#776250,Williamsburg
122,40.703283,-73.94333038,38853.75,17910.75,5.569913686,0.020621469,0.216752388,0.296514161,#4b3d3b,Williamsburg
123,40.703283,-73.94531035,30849.75,32833.75,5.261502635,0.105120248,0.223940236,0.490707587,#7d7261,Williamsburg
124,40.703283,-73.94729031,10908.25,40314.75,5.571800926,0.056557087,0.30897772,0.249346405,#3f322b,Williamsburg
125,40.703283,-73.94927027,12128,37305.25,5.235890234,0.087447021,0.275471309,0.373202614,#5f5244,Williamsburg
126,40.703283,-73.95125023,10592.75,35119.75,5.720305268,0.068278805,0.284961492,0.273806881,#453a31,Williamsburg
127,40.703283,-73.9532302,15195.75,31538.25,5.571879901,0.054143917,0.424458508,0.309831538,#4f382d,Williamsburg
128,40.703283,-73.95521016,34510.5,8925.25,6.110518384,0.078263003,0.307390649,0.288888889,#493d33,Williamsburg
129,40.703283,-73.95719012,20643.5,22503.75,6.117996854,0.113034623,0.162206805,0.26379085,#433f38,Williamsburg
130,40.703283,-73.95917008,44685,14040.75,6.036028902,0.078539199,0.235223881,0.333998006,#554a41,Williamsburg
131,40.703283,-73.96510997,27046.25,16390.25,5.596965788,0.065201465,0.272781775,0.242265795,#3d332c,Williamsburg
132,40.703283,-73.98094967,18757.25,16786.5,5.52307402,0.126356589,0.067859022,0.418814717,#6a6963,Williamsburg
133,40.703283,-73.98292963,1383.25,34203.5,5.020402668,0.057160609,0.306600629,0.370923865,#5e4b41,Williamsburg
134,40.703283,-73.98490959,90.25,12372.5,5.474316959,0.064345992,0.234730934,0.217952869,#372f2a,Williamsburg
