,lat,lng,dir,city,entropy_mean,entropy_std
200,42.303131,-71.0912127541,0,boston,,
201,42.303131,-71.0912127541,1,boston,,
202,42.303131,-71.0912127541,2,boston,,
203,42.303131,-71.0912127541,3,boston,,
204,42.303131,-71.0993316314,0,boston,,
205,42.303131,-71.0993316314,1,boston,,
206,42.303131,-71.0993316314,2,boston,,
207,42.303131,-71.0993316314,3,boston,,
208,42.303131,-71.10339107,0,boston,,
209,42.303131,-71.10339107,1,boston,,
210,42.303131,-71.10339107,2,boston,,
211,42.303131,-71.10339107,3,boston,,
212,42.303131,-71.1054207893,0,boston,4.88901209859,1.19731474603
213,42.303131,-71.1054207893,1,boston,4.69848304822,1.34767096349
214,42.303131,-71.1054207893,2,boston,4.31703970354,0.954061773736
215,42.303131,-71.1054207893,3,boston,4.72665140269,0.965037674525
216,42.303131,-71.1074505086,0,boston,4.74196140213,1.08481819277
217,42.303131,-71.1074505086,1,boston,,
218,42.303131,-71.1074505086,2,boston,,
219,42.303131,-71.1074505086,3,boston,,
220,42.303131,-71.1135396665,0,boston,4.42950048198,1.08811407683
221,42.303131,-71.1135396665,1,boston,,
222,42.303131,-71.1135396665,2,boston,5.04842610071,0.675668100348
223,42.303131,-71.1135396665,3,boston,4.81033574326,0.926280760511
224,42.303131,-71.1155693858,0,boston,4.6799610826,1.10761641701
225,42.303131,-71.1155693858,1,boston,4.91448427226,0.823070276013
226,42.303131,-71.1155693858,2,boston,5.02117491504,1.07303544561
227,42.303131,-71.1155693858,3,boston,4.92894274985,1.05760446208
228,42.303131,-71.1175991051,0,boston,,
229,42.303131,-71.1175991051,1,boston,,
230,42.303131,-71.1175991051,2,boston,,
231,42.303131,-71.1175991051,3,boston,,
232,42.303131,-71.1196288244,0,boston,,
233,42.303131,-71.1196288244,1,boston,,
234,42.303131,-71.1196288244,2,boston,,
235,42.303131,-71.1196288244,3,boston,,
236,42.304631,-71.056707526,0,boston,4.29708371196,1.06373754478
