id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
66,41.826604,-87.6686514,41663.75,33734.75,5.137975094,0.073859455,0.353147535,0.304872252,#4d3e32,McKinley Park
67,41.826604,-87.67066592,46416,23276.25,5.218266474,0.07482699,0.383289125,0.295686275,#4b3b2e,McKinley Park
68,41.826604,-87.67268043,33726,29642.75,5.784376509,0.053396872,0.479943702,0.237129746,#3c281f,McKinley Park
69,41.826604,-87.67469495,54112.5,26318,5.094437162,0.053899083,0.199908299,0.144965105,#241f1d,McKinley Park
70,41.828104,-87.61425948,69530.75,38009.25,,,,,,Douglas
71,41.828104,-87.616274,72961.75,22118.25,5.985128519,0.983231707,0.205642633,0.195465686,#312728,Douglas
72,41.828104,-87.61828851,30431.5,43584.25,5.704999065,0.035844977,0.463996295,0.368201194,#5d3b32,Douglas
73,41.828104,-87.62030303,67273.25,22722.5,6.208572038,0.219298246,0.021276596,0.389106754,#626361,Douglas
74,41.828104,-87.62634657,37584.75,18792,5.657589164,0.077674897,0.37039154,0.457385621,#745d49,Douglas
75,41.828104,-87.62836109,45255.75,78055,5.898633261,0.100788288,0.112355286,0.765286855,#c3baad,Douglas
76,41.828104,-87.63037561,9348.25,58512.5,6.22333545,0.148648649,0.054119941,0.309351433,#4e4e4a,Douglas
77,41.828104,-87.63239012,27526,51791.25,5.838503332,0.095300834,0.269053527,0.3352347,#554b3e,Bridgeport
78,41.828104,-87.63440464,35946.5,55061,6.178520556,0.092371476,0.275041051,0.895588235,#e4c8a5,Bridgeport
79,41.828104,-87.63843367,96226.25,5071,5.974259426,0.040650407,0.089617486,0.326203209,#534d4b,Bridgeport
80,41.828104,-87.64044818,62020,16965.25,5.989561037,0.102216749,0.201889607,0.3428815,#575045,Bridgeport
81,41.828104,-87.6424627,50883.25,28572.5,6.148690647,0.074006488,0.277047523,0.258562092,#41372f,Bridgeport
82,41.828104,-87.64447722,63727.5,16910,6.055022439,0.087881591,0.260293764,0.361917211,#5c5044,Bridgeport
83,41.828104,-87.64649173,29749,46594.5,5.620253207,0.02209596,0.167778837,0.287004104,#493e3c,Bridgeport
84,41.828104,-87.65052076,48924.75,41070.5,5.529210896,0.075581395,0.367884172,0.425630252,#6c5644,Bridgeport
85,41.828104,-87.66663689,32230,30206.75,5.504469977,0.074490221,0.213486141,0.229901961,#3a332e,McKinley Park
86,41.828104,-87.6686514,61846.75,11378.25,5.895462209,0.088906169,0.237094395,0.312802768,#4f463c,McKinley Park
87,41.828104,-87.67066592,76569,3292.25,5.902554949,0.075712881,0.130585516,0.339346405,#56504b,McKinley Park
88,41.828104,-87.67268043,81684.25,1429.75,5.844490083,0.058080808,0.089673913,0.103081232,#1a1817,McKinley Park
89,41.828104,-87.67469495,42914,22253.25,5.314630703,0.060063644,0.174437968,0.235490196,#3c3531,McKinley Park
90,41.828104,-87.67670947,75832,20931.25,6.229286351,0.025431426,0.156303237,0.306928105,#4e4342,McKinley Park
91,41.828104,-87.67872398,80570.5,12548,6.145903369,0.644851658,0.083992964,0.371568627,#56575e,McKinley Park
92,41.829604,-87.60821593,27273,37451.5,5.376219691,0.04406715,0.500477373,0.325988173,#533429,Douglas
93,41.829604,-87.61023045,41554.5,44203,5.450178787,0.151515152,0.052715655,0.409150327,#686762,Douglas
94,41.829604,-87.61224496,91964.75,29716,6.316981444,0.96875,0.126984127,0.494117647,#7e6e71,Douglas
95,41.829604,-87.61425948,46877,52364,6.32702447,0.277777778,0.06,0.392156863,#60645e,Douglas
96,41.829604,-87.616274,61376.5,16014.5,5.965971151,0.089992801,0.136296732,0.317180205,#504b45,Douglas
97,41.829604,-87.61828851,12157.5,45731.25,5.598882979,0.072111111,0.257754103,0.800756794,#ccae97,Douglas
98,41.829604,-87.62030303,30620.75,33808,5.734047681,0.030165913,0.077110956,0.340582294,#565150,Douglas
99,41.829604,-87.62231754,54104.25,40311.75,5.467195482,0.037216828,0.519327731,0.233333333,#3b231c,Douglas
100,41.829604,-87.62433206,58947,20211.75,5.869933494,0.058145363,0.375070502,0.239756592,#3d2e26,Douglas
101,41.829604,-87.62634657,36320.5,49248.75,6.210369001,0.104166667,0.101716465,0.82248366,#d1c9bc,Douglas
102,41.829604,-87.62836109,68385,40347,6.10393025,0.080952381,0.099904853,0.858660131,#dacfc5,Douglas
103,41.829604,-87.63037561,14187.25,72260.5,,,,,,Douglas
104,41.829604,-87.63843367,10441,38861.25,5.896980893,0.077830872,0.248113818,0.758006536,#c1a791,Bridgeport
105,41.829604,-87.64044818,43626.75,19780.25,5.691225447,0.061449785,0.303450729,0.537733142,#896e5f,Bridgeport
106,41.829604,-87.6424627,33293.75,34173.75,5.855696818,0.063636364,0.041540785,0.179039892,#2d2c2b,Bridgeport
107,41.829604,-87.64447722,32806.75,34261,5.957492217,0.189883914,0.035976374,0.421342383,#6a6b67,Bridgeport
108,41.829604,-87.64649173,68032.5,19624.75,5.54671783,0.098972499,0.163504299,0.778085352,#c6b9a5,Bridgeport
109,41.829604,-87.64850625,76030.5,15558.25,6.386136547,0.057113188,0.257005604,0.257791538,#413630,Bridgeport
110,41.829604,-87.65052076,64348.75,19141.25,5.849815694,0.066952075,0.338322269,0.85500516,#daad90,Bridgeport
111,41.829604,-87.66663689,34571.5,40664.5,5.769024548,0.038383838,0.189111748,0.253449528,#403734,McKinley Park
112,41.829604,-87.6686514,73702.5,11938,5.637504512,0.088694853,0.336113686,0.373356401,#5f503f,McKinley Park
113,41.829604,-87.67066592,44912.75,37013.75,5.66422544,0.095144357,0.186148772,0.324301842,#524c43,McKinley Park
114,41.829604,-87.67268043,73049,20090.5,5.915496372,0.056291391,0.271582734,0.311484594,#4f4139,McKinley Park
115,41.829604,-87.67469495,63742,19407,5.530519017,0.062115621,0.162178336,0.198573975,#322d2a,McKinley Park
116,41.829604,-87.67670947,73388.5,28229.25,6.265389721,0.085129906,0.274215553,0.307983193,#4e4339,McKinley Park
117,41.829604,-87.67872398,5315.25,59320.75,5.289039935,0.092189501,0.187200384,0.481199539,#7a7063,McKinley Park
118,41.829604,-87.6807385,11197.25,53072.75,5.619063406,0.13482781,0.247109827,0.208748115,#353228,McKinley Park
119,41.829604,-87.68275301,70133,32778,5.828110024,0.073717949,0.379725086,0.396930946,#654f3e,McKinley Park
120,41.831104,-87.60620142,38930.25,58406.5,5.840981247,0.472222222,0.007672634,0.766666667,#c2c3c3,Douglas
121,41.831104,-87.60821593,45261.5,33178.25,5.646600417,0.4705064,0.125,0.427094474,#5f6c6a,Douglas
122,41.831104,-87.61023045,25830.5,50962.75,5.507117621,0.085329341,0.15754717,0.286680189,#49433d,Douglas
123,41.831104,-87.61224496,79650,23507.5,6.117832391,0.077601411,0.224732461,0.549673203,#8c7b6c,Douglas
124,41.831104,-87.61425948,51694.25,39599.5,5.629870487,0.103067485,0.159678683,0.32283365,#524d45,Douglas
125,41.831104,-87.616274,50954.75,35933,6.018724495,0.136044177,0.140558848,0.343064633,#57554b,Douglas
126,41.831104,-87.61828851,25476.25,43858.25,5.862608597,0.070209974,0.313735178,0.566946779,#907663,Douglas
127,41.831104,-87.62030303,53817.75,12765.75,5.768385227,0.107415107,0.288542292,0.181590414,#2e2920,Douglas
128,41.831104,-87.62231754,7915.25,66105.5,5.519333169,0.046675473,0.48094028,0.440896359,#70493a,Douglas
129,41.831104,-87.62433206,26016.5,39073.5,5.502330878,0.088519313,0.139541848,0.919023048,#eadbc9,Douglas
130,41.831104,-87.62634657,12484,55859.25,6.184625922,0.133819951,0.107366771,0.178711485,#2d2c28,Douglas
131,41.831104,-87.62836109,30786.5,49917.75,5.59142289,0.11598858,0.177972561,0.411607843,#686356,Douglas
132,41.831104,-87.63037561,3873,29776,5.414244095,0.109154437,0.35924085,0.27120098,#453c2c,Douglas
133,41.831104,-87.63239012,30859.75,37593.5,5.477483726,0.071965204,0.169209153,0.44402852,#71665e,Bridgeport
134,41.831104,-87.63440464,24897.5,12467.25,5.204187853,0.062550444,0.15664707,0.498275455,#7f726b,Bridgeport
135,41.831104,-87.63641915,16803.66667,17,5.040871346,0.078671567,0.276973535,0.228121775,#3a312a,Bridgeport
136,41.831104,-87.63843367,43962.75,46186.25,5.767682584,0.055120678,0.397356143,0.77586727,#c59177,Bridgeport
137,41.831104,-87.64044818,75161.5,8950,6.065322462,0.049926579,0.427898209,0.346732026,#583d32,Bridgeport
138,41.831104,-87.6424627,45106,37797.25,5.750614575,0.084291188,0.215346535,0.352069717,#595046,Bridgeport
139,41.831104,-87.64447722,34921.25,39533.5,5.958104894,0.102303523,0.168666438,0.408543417,#686156,Bridgeport
140,41.831104,-87.64649173,707.75,36241,5.678091409,0.095939751,0.215313029,0.12875817,#201d19,Bridgeport
141,41.831104,-87.64850625,72956.25,27105,5.672618174,0.086247086,0.296066253,0.236764706,#3c332a,Bridgeport
142,41.831104,-87.65052076,21189,40653,5.238211449,0.062998405,0.255813953,0.156288857,#27211d,Bridgeport
143,41.831104,-87.65253528,16056.5,21315,4.923558475,0.087634409,0.097760959,0.112029677,#1c1b19,Bridgeport
144,41.831104,-87.66462237,16431.25,66442.25,5.605803628,0.539473684,0.082909091,0.490196078,#727a7d,McKinley Park
145,41.831104,-87.66663689,87106.5,20044,6.26079067,0.094036697,0.143138542,0.459426848,#756d64,McKinley Park
146,41.831104,-87.6686514,40072,40433,6.015155304,0.084499741,0.26836394,0.427094474,#6c5e4f,McKinley Park
147,41.831104,-87.67066592,62520.5,25377.25,5.716575898,0.084210526,0.097636177,0.401651187,#66615c,McKinley Park
148,41.831104,-87.67268043,50109,34242,5.491880726,0.072180585,0.469110999,0.520522876,#846146,McKinley Park
149,41.831104,-87.67469495,81363,6883,5.790730701,0.01777499,0.455168475,0.286111111,#482b27,McKinley Park
150,41.831104,-87.67670947,3481.25,60409,5.63559159,0.079059829,0.17384844,0.329901961,#544c45,McKinley Park
151,41.831104,-87.67872398,99556,1611.75,6.503044017,0.173333333,0.007778469,0.969532428,#f7f7f5,McKinley Park
152,41.831104,-87.6807385,80114.75,12529.5,5.929819823,0.122779519,0.135398981,0.355354449,#5a574e,McKinley Park
153,41.831104,-87.68275301,14756.25,61864.75,6.013873961,0.114709852,0.322173913,0.225490196,#393326,McKinley Park
154,41.831104,-87.68476753,58532,33755.25,6.500132833,0,0.131578947,0.447058824,#726363,Lower West Side
155,41.832604,-87.60620142,85255,35749.25,5.258817644,0.992537313,0.049156273,0.763585434,#c2b9b9,Douglas
156,41.832604,-87.61023045,35899.25,23920,5.255188567,0.144654088,0.060654612,0.176632302,#2d2c2a,Douglas
