,lat,lng,tree,sky,entropy,H,S,V,color,neighborhood,city
80,42.304631,-71.115569,36272.0,28792.25,6.00421944164,0.193379790941,0.0876335877863,0.321078431373,#50514a,Jamaica Plain,boston
81,42.304631,-71.117599,56648.5,13338.25,5.89249439319,0.263452131377,0.0870914734344,0.34642631246,#535850,Jamaica Plain,boston
82,42.304631,-71.119628,74539.75,17581.25,,,,,,Jamaica Plain,boston
83,42.304631,-71.121658,132295.5,2873.0,,,,,,Jamaica Plain,boston
84,42.306131,-71.056707,6230.5,62866.0,5.9794141832,0.192307692308,0.00408805031447,0.860040567951,#dbdbda,Dorchester,boston
85,42.306131,-71.058737,2504.0,46620.0,5.51144642611,0.134907251265,0.0608329913828,0.530936819172,#87857f,Dorchester,boston
86,42.306131,-71.060766,20624.75,16033.25,5.88987963216,0.544956140351,0.0160795514651,0.52212096106,#838485,Dorchester,boston
87,42.306131,-71.062796,31767.75,14302.5,6.08547501431,0.159605648814,0.13401178361,0.366078431373,#5d5c50,Dorchester,boston
88,42.306131,-71.064826,28865.25,24619.75,6.22670754291,0.14064602961,0.119127785794,0.444705882353,#716f63,Dorchester,boston
89,42.306131,-71.066856,11071.75,28623.75,5.90148006522,0.532879818594,0.083215397679,0.322207022344,#4b5052,Dorchester,boston
90,42.306131,-71.068885,21028.5,25232.5,6.01951904302,0.209164818921,0.0696632684584,0.416200578592,#686a62,Dorchester,boston
91,42.306131,-71.070915,30702.75,20000.5,5.81521332981,0.127272727273,0.130372049881,0.481657979648,#7a776a,Dorchester,boston
92,42.306131,-71.072945,69787.0,17362.5,,,,,,Dorchester,boston
93,42.306131,-71.074974,42877.75,40099.0,,,,,,Dorchester,boston
94,42.306131,-71.077004,27654.0,46385.75,6.07511184421,0.138114209827,0.102240325866,0.300857843137,#4c4b44,Dorchester,boston
95,42.306131,-71.079034,43556.25,32838.25,6.19010404153,0.10247637667,0.183629509962,0.809150326797,#cebfa8,Dorchester,boston
96,42.306131,-71.081064,37954.5,30432.5,5.72055393592,0.148125,0.147438260229,0.327360482655,#535247,Dorchester,boston
97,42.306131,-71.083093,44282.5,34372.5,6.04525322298,0.0604010025063,0.306875865251,0.212450980392,#362b25,Roxbury,boston
98,42.306131,-71.085123,10284.0,33590.5,6.03570965174,0.052608311229,0.1696287964,0.232418300654,#3b3431,Roxbury,boston
99,42.306131,-71.087153,63748.75,29373.75,,,,,,Roxbury,boston
100,42.306131,-71.095272,87861.25,15735.0,,,,,,Roxbury,boston
101,42.306131,-71.105421,86810.0,9138.5,5.71772630213,0.32,0.140977443609,0.149019607843,#212620,Jamaica Plain,boston
102,42.306131,-71.107451,37960.75,45910.25,5.66883490196,0.995024875622,0.258812168035,0.300798838054,#4c3839,Jamaica Plain,boston
103,42.306131,-71.109481,57938.0,14072.25,5.83065093173,0.0682489451477,0.23403940157,0.756414565826,#c0a693,Jamaica Plain,boston
104,42.306131,-71.111509,44458.25,40332.25,5.84477802079,0.539682539683,0.0280623608018,0.366830065359,#5a5c5d,Jamaica Plain,boston
105,42.306131,-71.113539,50574.0,29724.0,6.2139588122,0.394514767932,0.0241738066095,0.457703081232,#717472,Jamaica Plain,boston
106,42.306131,-71.115569,59945.0,19807.75,5.68533534192,0.051884057971,0.268002796551,0.37394335512,#5f4d45,Jamaica Plain,boston
107,42.306131,-71.117599,78384.0,16367.25,5.74779967184,0.114106476772,0.265460437483,0.46843769766,#776d57,Jamaica Plain,boston
108,42.306131,-71.119628,67847.5,29139.0,,,,,,Jamaica Plain,boston
109,42.306131,-71.121658,100562.75,35362.5,,,,,,Jamaica Plain,boston
110,42.306131,-71.123688,65868.5,28394.75,,,,,,Jamaica Plain,boston
111,42.306131,-71.127747,108502.5,16081.0,,,,,,Jamaica Plain,boston
112,42.307631,-71.052648,58753.25,50538.5,,,,,,Dorchester,boston
113,42.307631,-71.054677,19835.25,60329.75,5.88575559175,0.176923076923,0.0128179846184,0.710224089636,#b4b5b2,Dorchester,boston
114,42.307631,-71.056707,29074.0,61071.5,,,,,,Dorchester,boston
115,42.307631,-71.058737,46391.0,28491.25,5.9149244468,0.402857142857,0.0462595823421,0.279911209767,#444745,Dorchester,boston
116,42.307631,-71.060766,66754.25,24659.75,5.99622907056,0.37908496732,0.0270844397238,0.314226115978,#4d504e,Dorchester,boston
117,42.307631,-71.062796,31693.0,50403.75,,,,,,Dorchester,boston
118,42.307631,-71.064826,49301.25,15808.25,6.18012158567,0.31935483871,0.0559364850235,0.231205673759,#373a37,Dorchester,boston
119,42.307631,-71.066856,47396.25,12923.0,5.8665819354,0.0346742719904,0.405823586745,0.440934730056,#704c42,Dorchester,boston
120,42.307631,-71.068885,14051.25,39648.5,5.72522989156,0.20697954272,0.0823424494649,0.432529733205,#6c6e65,Dorchester,boston
121,42.307631,-71.070915,44765.25,40958.75,5.70104802852,0.556209150327,0.0275944161887,0.883883309421,#dbdfe1,Dorchester,boston
122,42.307631,-71.072945,10653.75,47504.0,5.47905030691,0.189177489177,0.022591245159,0.805197259627,#cccdc8,Dorchester,boston
123,42.307631,-71.074974,18793.25,61187.0,5.82584867783,0.394308943089,0.0303478904515,0.353202614379,#575a58,Dorchester,boston
124,42.307631,-71.077004,58230.25,25693.75,5.83938078902,0.551831992851,0.0869261244465,0.525857843137,#7a8286,Dorchester,boston
125,42.307631,-71.079034,72918.5,25102.5,5.82802245056,0.191588785047,0.0462103217448,0.442945958871,#70706b,Dorchester,boston
126,42.307631,-71.081064,13924.75,44649.75,5.3855247685,0.505827505828,0.041091954023,0.426470588235,#686c6c,Roxbury,boston
127,42.307631,-71.083093,1487.0,41166.0,5.8803356461,0.0913190529876,0.33784041135,0.270949432405,#453a2d,Roxbury,boston
128,42.307631,-71.085123,77410.75,13032.0,6.2237187033,0.314176245211,0.134155744025,0.25431372549,#394038,Roxbury,boston
129,42.307631,-71.087153,12801.25,23640.0,6.12240802311,0.108809993425,0.227456258412,0.196430931923,#322e26,Roxbury,boston
130,42.307631,-71.089183,54624.5,40372.75,,,,,,Roxbury,boston
131,42.307631,-71.091212,84876.5,20142.25,,,,,,Roxbury,boston
132,42.307631,-71.101361,81486.75,7520.25,6.17878919583,0.0238491403217,0.270112359551,0.198306595365,#322624,Jamaica Plain,boston
133,42.307631,-71.103391,54599.75,12284.25,6.18250151299,0.678571428571,0.0502467474204,0.317860962567,#4d4c51,Jamaica Plain,boston
134,42.307631,-71.105421,42348.75,54141.5,,,,,,Jamaica Plain,boston
135,42.307631,-71.107451,100706.5,20300.0,,,,,,Jamaica Plain,boston
136,42.307631,-71.109481,61861.25,42272.25,,,,,,Jamaica Plain,boston
137,42.307631,-71.111509,121118.5,5421.25,,,,,,Jamaica Plain,boston
138,42.307631,-71.113539,61190.0,19057.5,6.17569695317,0.457516339869,0.0607142857143,0.411764705882,#626967,Jamaica Plain,boston
